easting_kkj,northing_kkj,easting_etrs_exact,northing_etrs_exact,easting_etrs_interpolated,northing_etrs_interpolated,easting_interpolated_minus_exact,northing_interpolated_minus_exact
3229536.0176833,6690305.66632889,229476.409650337,6687496.7156998,229476.40952541,6687496.71562077,-0.000124926737044007,-7.90338963270187e-05
3234530.30219908,6681680.04732332,234468.695488259,6678874.62849816,234468.695548891,6678874.62837668,6.0631544329226e-05,-0.000121481716632843
3220705.13037123,6671936.69835189,220649.212334014,6669135.15842432,220649.212236373,6669135.15843264,-9.7641022875905e-05,8.32043588161469e-06
3223039.40796317,6672680.874831,222982.53361419,6669879.04590213,222982.533610845,6669879.04577528,-3.34554351866245e-06,-0.000126847065985203
3208971.28705633,6709494.91831373,208919.984616232,6706678.05684996,208919.98387194,6706678.0566985,-0.000744292774470523,-0.000151460058987141
3226585.92114392,6668378.20517457,226527.619052137,6665578.14398941,226527.619125236,6665578.14382783,7.30993633624166e-05,-0.000161576084792614
3226064.23229628,6677963.59137287,226006.098701807,6675159.63396197,226006.098803592,6675159.63387824,0.000101784564321861,-8.37305560708046e-05
3226431.05350956,6702691.64062974,226372.655486471,6699877.64159738,226372.655252632,6699877.64141084,-0.000233838974963874,-0.000186542980372906
3211004.28580312,6710742.40392529,210952.147699942,6707925.04732169,210952.147438269,6707925.04682545,-0.000261672190390527,-0.000496236607432365
3214961.75943701,6682910.78626602,214908.134964922,6680104.7564105,214908.135141063,6680104.75639165,0.000176141620613635,-1.88462436199188e-05
3219905.71094651,6714087.30929352,219849.923261238,6711268.57934562,219849.92345597,6711268.57906355,0.000194731634110212,-0.000282068736851215
3228885.65615331,6709393.00291274,228826.224575001,6706576.22777017,228826.224139019,6706576.22747898,-0.000435981899499893,-0.000291184522211552
3217997.82990694,6709224.64278773,217942.843986536,6706407.93305889,217942.843999242,6706407.93232385,1.27059756778181e-05,-0.000735037960112095
3218440.61345141,6708002.03719988,218385.452522954,6705185.83579498,218385.452511435,6705185.83492265,-1.15188886411488e-05,-0.000872323289513588
3225372.75980972,6710946.13746789,225314.755031968,6708128.71534134,225314.754548879,6708128.71514725,-0.000483089039335027,-0.00019408855587244
